# r_means, r_stds, t_means, t_sdts, benchmark
   0.00041,   0.00041,  42.90000,   0.00000,   0.00005
   0.00110,   0.00113,  39.20000,   0.00000,   0.12024
   0.02975,   0.03688,  59.00000,   0.00000,   0.02821
   0.04195,   0.06557,  46.30000,   0.00000,   0.04491
   0.02124,   0.02020,  46.20000,   0.00000,   0.06275
   0.03952,   0.03340,  65.90000,   0.00000,   0.02285
   0.07445,   0.08104,  68.70000,   0.00000,   0.21803
   0.18633,   0.14482, 159.30000,   0.00000,   0.16208
   0.08959,   0.04905, 180.00000,   0.00000,   0.09818
   0.16672,   0.06047, 263.30000,   0.00000,   0.63437
